customer_name,customer_address,last_contact_date,owned_stocks,change_rate,total_assets,branch_name,branch_address
小川 桃子,東京都新宿区西新宿１-８-８,2020/1/10,野村・ヘッジファンド戦略投資信託,-11.16338043,141946506,,
佐藤 和也,東京都中央区日本橋室町3-2-1,2023/7/11,野村・トータル・ワールド・ストックETF,9.165805204,99151549,,
高橋 知実,東京都中央区日本橋室町3-2-1,2020/2/6,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,69201378,,
高橋 桃子,東京都中央区日本橋1-18-1,2020/10/6,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,92670931,,
山下 亮介,東京都新宿区新宿5-31-10,2021/8/30,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,490774005,,
中村 治,東京都新宿区百人町1-4-16,2022/3/1,野村・グローバル・アロケーション・ファンド,-1.145094687,67662779,,
井上 あすか,東京都新宿区百人町1-1-16,2021/9/15,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,350337165,,
阿部 零,東京都港区港南2-16-30,2023/3/7,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,93022057,,
村上 明美,東京都港区南品川3-12-27,2022/6/17,野村 500インデックスファンド,9.650956785,68445677,,
小林 裕太,東京都港区東品川2-3-13,2020/5/7,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,425348743,,
渡辺 桃子,東京都港区港南2-11-17,2022/4/15,野村・トータル・ワールド・ストックETF,9.165805204,55748840,,
山本 加奈,東京都品川区大井1-33-7,2022/3/12,野村・グローバル・アロケーション・ファンド,-1.145094687,73531939,,
高橋 裕美子,東京都大田区大森北1-20-1,2022/9/25,野村・グローバル・アロケーション・ファンド,-1.145094687,86079130,,
伊藤 直子,東京都大田区大森北1-20-1,2020/6/26,野村・ヘッジファンド戦略投資信託,-11.16338043,196080706,,
斎藤 裕太,東京都中央区日本橋小舟町11-12,2021/1/7,野村・トータル・ワールド・ストックETF,9.165805204,465076814,,
高橋 聡太郎,東京都中央区日本橋富沢町11-5,2023/1/8,野村・トータル・ワールド・ストックETF,9.165805204,84246338,,
鈴木 淳,東京都中央区日本橋角田町1-10-2,2023/1/30,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,68950846,,
小林 直樹,東京都中央区日本橋大伝馬町2-2-4,2021/9/26,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,156156124,,
田中 七夏,東京都中央区日本橋浜町1-1-4,2020/9/6,野村・トータル・ワールド・ストックETF,9.165805204,91035949,,
佐藤 太郎,東京都中央区八重洲1-5-5,2020/10/14,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,53213947,,
田中 香織,東京都中央区日本橋馬喰町2-2-4,2022/12/2,野村・ヘッジファンド戦略投資信託,-11.16338043,518624821,,
阿部 くみ子,東京都中央区日本橋浜町2-58-2,2021/11/3,野村・グローバル・アロケーション・ファンド,-1.145094687,77675123,,
吉田 春香,東京都千代田区内神田1-8-10,2020/6/10,野村 500インデックスファンド,9.650956785,348297641,,
遠藤 淳,東京都港区麻布台１－６－１９,2021/11/24,野村・グローバル・アロケーション・ファンド,-1.145094687,77094131,,
森 陽子,東京都港区麻布台１－７－３,2022/10/31,野村・グローバル・アロケーション・ファンド,-1.145094687,784679909,,
小林 裕樹,東京都港区西新橋３-２２-５,2020/6/17,野村・トータル・ワールド・ストックETF,9.165805204,60844879,,
田中 零,東京都港区港南２丁目４−１３,2021/8/31,野村・ヘッジファンド戦略投資信託,-11.16338043,622605138,,
藤井 英樹,東京都港区芝浦３丁目３−４−１,2020/7/2,野村・グローバル・アロケーション・ファンド,-1.145094687,97506876,,
太田 あすか,東京都港区赤坂8丁目4-17,2022/5/23,野村・グローバル・アロケーション・ファンド,-1.145094687,509558136,,
藤田 晃,東京都港区港南2-15-2,2020/2/24,野村 500インデックスファンド,9.650956785,613199342,,
木村 裕樹,東京都港区三田3-8-6,2020/6/18,野村・トータル・ワールド・ストックETF,9.165805204,737520287,,
加藤 智也,東京都港区浜松町2-4-1,2020/3/27,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,369350066,,
松本 幹,東京都港区港南2-4-13,2021/12/1,野村・グローバル・アロケーション・ファンド,-1.145094687,403942465,,
伊藤 明美,東京都千代田区神田錦町3-18,2021/1/13,野村・グローバル・アロケーション・ファンド,-1.145094687,552555763,,
佐藤 くみ子,東京都千代田区神田錦町3-21,2023/1/7,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,167027548,,
森 裕美子,東京都千代田区神田錦町3-22,2020/3/9,野村・グローバル・アロケーション・ファンド,-1.145094687,525366284,,
池田 千代,東京都港区虎ノ門1-7-12,2021/5/16,野村・グローバル・アロケーション・ファンド,-1.145094687,71239649,,
田中 充,東京都港区虎ノ門4-2-12,2021/10/2,野村 500インデックスファンド,9.650956785,673841508,,
池田 里佳,東京都港区三田4-1-31,2020/4/21,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,63787479,,
佐藤 桃子,東京都品川区東大井５-２３-３４,2022/3/5,野村・トータル・ワールド・ストックETF,9.165805204,64123699,,
井上 英樹,東京都品川区南大井6-26-3,2021/11/26,野村・トータル・ワールド・ストックETF,9.165805204,65047241,,
後藤 花子,東京都品川区大井2-24-11,2022/7/2,野村・グローバル・アロケーション・ファンド,-1.145094687,340371411,,
中村 浩,東京都品川区大井2-24-11,2022/6/21,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,86625074,,
伊藤 香織,東京都品川区南大井4-11-3,2022/6/26,野村 500インデックスファンド,9.650956785,527842850,,
高橋 健一,東京都品川区大崎2-11-1,2023/5/7,野村・ヘッジファンド戦略投資信託,-11.16338043,79114064,,
後藤 千代,東京都品川区西中延1-7-23,2020/2/5,野村・トータル・ワールド・ストックETF,9.165805204,242054278,,
石井 治,東京都品川区東大井5-23-34,2022/1/27,野村・ヘッジファンド戦略投資信託,-11.16338043,66581012,,
井上 英樹,東京都品川区小山3-8-1,2020/11/10,野村・トータル・ワールド・ストックETF,9.165805204,67330458,,
近藤 舞,東京都品川区戸越4-9-17,2023/2/22,野村・トータル・ワールド・ストックETF,9.165805204,70816610,,
田中 美加子,東京都品川区西五反田4-29-15,2023/1/11,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,170130394,,
後藤 桃子,東京都品川区東品川1-34-7,2022/10/20,野村 500インデックスファンド,9.650956785,53424753,,
伊藤 洋介,東京都品川区東大井2-12-18,2022/9/10,野村 500インデックスファンド,9.650956785,63762653,,
伊藤 幹,東京都品川区西五反田7-22-17,2023/4/25,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,614414024,,
小川 和也,東京都品川区小山7-16-4,2023/1/30,野村・ヘッジファンド戦略投資信託,-11.16338043,114720685,,
近藤 直子,東京都品川区西五反田7丁目22-17,2023/8/18,野村・グローバル・アロケーション・ファンド,-1.145094687,137297778,,
藤田 真綾,東京都品川区二葉1-8-18,2021/5/3,野村・トータル・ワールド・ストックETF,9.165805204,653614582,,
